Greedy -30 EX	Serviced: 96, Unfair: 0, UserN :500
Shuttle0,	0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle1,	0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle2,	0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle3,	0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle4,	0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

How early,	-3445/96,	9,-6,7,36,-43,16,-37,-94,-16,-24,34,-77,-82,-33,-109,-104,-22,22,28,9,15,-93,28,0,-95,33,33,33,33,33,33,33,33,33,33,32,32,32,32,32,-41,-52,-192,-24,-24,-24,-24,-61,-31,-31,-31,-31,-31,-48,9,-48,-48,-48,-48,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-53,-53,-53,-53,-244,-55,-68,-68,-68,-68,-68,-45,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-76,-76,-76,-76,-76

How wait,	6789/96,	11,9,31,2,57,22,75,84,54,62,4,95,120,71,113,121,60,3,10,29,23,131,10,38,133,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,79,90,224,62,62,62,62,99,69,69,69,69,69,86,9,86,86,86,86,88,88,88,88,88,88,88,88,88,88,91,91,91,91,262,93,106,106,106,106,106,83,108,108,108,108,108,108,108,108,108,108,111,111,111,111,111


Missed people's location (Destination / Demand time) At 499
A Station,	(I/57/-1), (R/59/-1), (O/82/-1), (J/160/-1), (G/169/-1), (U/211/-1), (T/216/-1), (M/305/-1), (P/361/-1), (N/371/-1), (T/384/-1), (S/464/-1), (R/501/-1), (K/511/-1)
B Station,	(S/81/-1), (F/123/-1), (S/184/-1), (L/201/-1), (Q/204/-1), (Q/237/-1), (O/357/-1), (T/368/-1), (V/395/-1), (N/396/-1), (Q/408/-1), (R/462/-1)
C Station,	(I/164/-1), (O/236/-1), (R/250/-1), (P/296/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (B/298/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (N/302/-1), (H/341/-1), (N/347/-1), (M/358/-1), (H/486/-1)
D Station,	(I/282/-1), (I/373/-1), (C/402/-1), (N/468/-1), (B/512/-1)
E Station,	(V/122/-1), (N/159/-1), (W/199/-1), (V/252/-1), (W/319/-1), (L/425/-1), (N/479/-1)
F Station,	(E/94/-1), (W/163/-1), (S/484/-1)
G Station,	(K/200/-1), (P/221/-1), (W/237/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (N/299/-1), (K/328/-1), (M/389/-1), (P/415/-1), (Q/456/-1)
H Station,	(U/167/-1), (S/279/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (P/299/-1), (D/376/-1), (O/406/-1), (A/434/-1), (U/492/-1)
I Station,	(Q/118/-1), (D/252/-1), (D/260/-1), (T/342/-1), (E/364/-1), (E/402/-1), (A/516/-1)
J Station,	(V/78/-1), (S/130/-1), (H/196/-1), (F/202/-1), (F/227/-1), (V/345/-1), (A/356/-1), (F/358/-1), (G/373/-1), (C/488/-1), (C/548/-1)
K Station,	(M/161/-1), (L/262/-1), (U/370/-1), (A/432/-1), (M/463/-1), (L/511/-1), (V/533/-1)
L Station,	(Q/128/-1), (W/180/-1), (H/192/-1), (W/298/-1), (C/326/-1), (A/404/-1), (N/421/-1), (N/429/-1), (I/452/-1), (I/467/-1), (M/495/-1), (W/516/-1), (R/553/-1)
M Station,	(T/67/-1), (H/112/-1), (T/172/-1), (T/219/-1), (W/226/-1), (H/251/-1), (S/348/-1), (B/403/-1), (D/409/-1), (H/490/-1), (P/494/-1), (C/502/-1), (A/506/-1), (I/516/-1), (W/548/-1)
N Station,	(P/232/-1), (P/267/-1), (J/289/-1), (G/302/-1), (S/322/-1), (V/352/-1), (J/373/-1), (P/398/-1), (T/408/-1), (R/500/-1), (V/522/-1)
O Station,	(T/55/-1), (N/132/-1), (M/163/-1), (N/234/-1), (E/294/-1), (G/329/-1), (G/342/-1), (M/345/-1), (K/352/-1), (R/498/-1), (K/521/-1)
P Station,	(O/233/-1), (F/264/-1), (O/333/-1), (H/446/-1), (T/453/-1), (A/559/-1)
Q Station,	(R/205/-1), (O/268/-1), (I/289/-1), (O/328/-1), (U/332/-1), (O/428/-1)
R Station,	(U/50/-1), (O/205/-1), (F/207/-1), (W/226/-1), (I/305/-1), (F/322/-1), (O/379/-1), (T/401/-1), (W/422/-1), (I/536/-1), (L/554/-1)
S Station,	(G/177/-1), (L/204/-1), (G/276/-1), (A/358/-1), (O/360/-1), (C/386/-1), (F/395/-1), (K/397/-1), (I/400/-1), (P/444/-1), (P/480/-1), (E/485/-1)
T Station,	(N/167/-1), (U/273/-1), (H/276/-1), (M/287/-1), (K/337/-1), (I/346/-1), (C/393/-1), (K/483/-1), (K/537/-1), (K/544/-1)
U Station,	(O/188/-1), (A/205/-1), (N/216/-1), (M/309/-1), (P/396/-1), (V/418/-1), (K/465/-1), (C/497/-1), (A/526/-1)
V Station,	(U/99/-1), (M/177/-1), (E/195/-1), (R/264/-1), (K/333/-1), (A/354/-1), (C/403/-1), (H/460/-1), (L/479/-1), (R/505/-1), (B/540/-1), (U/541/-1), (T/542/-1)
W Station,	(P/57/-1), (E/148/-1), (N/159/-1), (C/197/-1), (G/226/-1), (G/237/-1), (Q/257/-1), (I/277/-1), (I/312/-1), (H/353/-1), (B/379/-1), (M/508/-1)
