TS Greedy -30 PG	Serviced: 1480, Unfair: 0, UserN :2500
Shuttle0,	0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,6,6,6,8,8,8,13,13,13,14,14,14,20,20,20,20,21,21,21,24,24,24,24,24,24,24,31,31,37,37,37,39,39,39,39,40,40,40,40,40,40,40,40,41,41,41,41,40,40,40,40,41,41,41,41,39,39,39,41,41,41,41,41,41,41,41,41,41,41,41,41,45,42,42,42,43,43,45,45,45,45,45,45,45,42,42,42,41,41,41,39,39,39,40,40,40,43,43,43,43,39,39,39,37,37,37,37,32,32,32,30,30,33,33,33,33,33,33,33,29,29,29,29,29,29,29,29,28,28,28,28,29,29,29,29,24,24,24,24,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,23,25,25,25,24,24,23,23,23,45,45,45,45,45,45,45,45,45,45,44,44,44,43,43,43,42,42,42,42,45,45,45,45,45,45,45,45,45,45,42,42,40,40,40,43,43,43,43,21,21,21,21,21,21,21,21,23,23,23,23,31,31,31,31,34,34,34,34,41,41,41,40,40,40,40,40,40,40,39,39,39,39,39,39,45,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,42,42,42,35,35,35,35,24,24,24,24,24,24,24,24,22,22,22,22,22,22,22,22,23,23,23,23,22,22,22,21,21,21,21,21,21,21,24,24,24,24,24,24,45,45,45,45,44,44,45,45,45,45,45,45,45,45,45,45,43,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,25,25,25,25,25,25,25,25,24,24,24,24,27,27,27,27,30,30,30,30,30,30,30,27,27,27,27,27,27,27,24,24,24,24,24,24,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,41,41,41,41,15,15,15,15,15,15,15,15,17,17,17,17,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,18,18,18,18,18,18,20,19,19,19,16,16,19,19,19,16,16,16,16,18,18,18,19,19,19,14,14,14,12,12,12,7,7,7,7,0
Shuttle1,	0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,5,5,5,5,10,10,10,10,12,12,12,12,14,14,14,15,15,15,15,15,15,15,17,17,17,17,17,17,19,22,22,22,24,24,26,26,26,28,28,28,28,28,28,28,32,32,32,36,36,36,37,37,37,36,36,36,36,34,34,34,32,32,32,32,33,33,33,33,33,36,36,36,37,37,37,37,38,38,38,38,38,38,38,38,39,39,39,39,38,38,38,38,35,35,35,35,34,34,34,35,35,35,35,35,35,35,32,32,32,32,32,32,35,33,33,33,35,35,35,35,35,38,38,38,38,37,37,37,33,33,33,34,34,34,35,35,35,39,39,39,39,42,42,42,44,44,44,44,41,41,41,44,44,45,45,45,41,41,41,41,41,41,41,41,41,41,41,41,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,39,39,39,40,40,40,40,40,40,40,42,42,42,45,45,45,45,45,45,45,45,45,45,45,45,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,41,41,41,41,39,39,39,39,40,40,40,42,42,42,42,42,42,42,38,38,38,38,38,38,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,28,28,28,28,28,28,28,28,30,30,30,30,33,33,33,33,33,33,33,33,34,34,34,41,41,41,41,41,41,41,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,41,41,45,45,45,45,45,45,45,38,38,38,38,38,38,38,38,37,37,37,37,38,38,38,38,41,41,41,41,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,42,45,45,45,45,45,45,45,45,45,45,45,45,45,40,40,40,40,40,40,41,41,41,41,40,40,40,38,38,38,38,38,38,38,31,31,26,26,26,22,22,22,22,13,13,13,13,13,13,13,13,7,7,7,7,4,4,4,4,0
Shuttle2,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle3,	0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle4,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

How early,	-114136/1480,	29,6,3,6,17,6,26,28,29,18,13,14,38,20,-39,12,19,20,13,2,14,24,20,27,18,19,14,22,22,24,-55,-17,-29,-6,19,-6,18,-13,6,-6,4,-13,30,20,10,2,0,28,13,-18,2,23,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,7,-29,-18,10,7,2,17,-13,7,2,23,-5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,20,-13,-2,31,-13,-3,15,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-82,-37,-23,-28,-3,-13,-3,-28,20,15,-1,-23,-5,-37,-13,-10,-1,-23,30,9,-12,11,7,6,22,15,-2,22,19,-23,-38,-38,-17,3,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-6,20,-12,8,-37,-5,24,-32,-43,-38,-38,-38,-22,-3,-28,-8,-37,-1,7,-8,-5,24,-16,-50,-60,-43,-37,-60,-23,-23,-12,-50,-32,-8,-53,9,-19,8,3,-17,-50,-8,-53,-74,17,7,11,-43,-10,-27,-13,28,8,-73,22,28,10,14,-66,-66,-50,-70,-37,-25,-20,-42,-43,-8,-25,-20,-5,-27,-16,8,-31,-13,-42,-16,22,28,28,6,-20,-74,-66,-73,-73,-73,-73,-73,-74,-74,-74,-74,-74,-74,-74,-74,-60,-66,-50,-32,-41,-53,-25,-19,-17,-9,-10,6,7,11,-20,-31,-43,10,14,-41,20,-27,-12,18,-17,-31,-43,-19,-30,5,-21,-12,8,0,15,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-42,-17,-22,25,1,-10,9,-70,-42,-43,-27,-41,-43,-19,-30,-31,-13,-12,-27,-42,-26,-41,-12,-16,8,-4,5,0,-22,-10,9,15,25,1,-53,-26,-52,-75,-62,-42,-20,-31,-43,-31,-17,-26,17,-20,6,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-5,-5,-9,24,-16,-25,-60,1,20,-29,-6,-8,-28,-8,-66,-26,1,-126,-126,-126,-126,-126,-122,-123,-123,-123,-123,-123,-123,-123,-123,-123,-53,-61,-42,-41,-85,-22,-60,-63,-25,-16,1,-13,-8,5,-47,20,-29,-75,-62,-48,-43,-26,-48,-77,-9,-66,-26,-5,-5,1,-20,6,-6,16,-8,-52,2,-28,-46,-32,-34,-51,-52,-40,-31,-58,19,-14,-34,-34,1,-71,-18,0,23,-41,-4,-62,-27,-29,-6,-38,16,-81,-76,-85,-60,-63,-46,-52,-71,-40,-58,-51,-47,-31,-29,-32,-71,-27,-29,-44,-18,-44,-7,-6,0,19,23,4,-2,-161,-157,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-76,-48,-77,-66,-26,-41,-20,-14,-8,-62,-52,-28,-4,-34,-38,-34,-45,-38,1,-45,-51,-42,-22,-17,-21,17,-15,10,24,11,-28,-53,-25,12,-69,14,25,-14,-15,-21,-15,-9,-210,-210,-210,-210,-206,-206,-206,-206,-207,-207,-93,-71,-58,-51,-57,-69,-71,-29,-44,-45,-44,-56,-51,-42,-15,-22,-15,-12,4,-24,-2,-43,24,11,11,15,-95,-77,-66,-62,-52,-28,-34,-38,-21,-53,-34,-45,-38,-25,12,-15,17,14,-21,-3,25,18,-15,-14,-9,-56,-19,-33,-81,-57,-32,32,-108,-110,-26,-27,-33,-24,-48,-40,-33,-32,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-214,-49,-40,-41,-47,10,2,-109,-67,-94,-81,-56,-56,-51,-42,-72,-33,-68,-33,-24,-32,-59,-49,-43,-40,-57,-40,-40,-33,-41,-26,-24,-47,-48,11,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-223,-245,-245,-245,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-242,-53,-67,-86,-26,-15,-35,-21,-40,-25,-3,-65,-1,-15,-14,-9,11,38,-24,5,13,-230,-230,-230,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-20,-45,17,-33,-14,-50,-33,-35,8,4,-79,-52,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-240,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-44,-21,-45,18,-17,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,25,-35,-48,-146,-104,-100,-94,-81,-89,-72,-79,-79,-65,-68,-59,-49,-43,-40,-57,-40,-40,-33,-41,-26,-24,-20,-47,-48,-45,-14,-44,-64,-21,-24,-50,-5,-33,-35,11,-45,8,5,13,18,-10,4,-7,-117,-86,-79,-52,-40,-36,-65,-35,-48,25,-4,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-196,-43,-67,8,5,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-202,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142,-127,-126,-97,-67,-72,-11,-13,8,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-207,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-147,-240,-2,-17,-23,-5,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-158,-36,-6,-16,-291,-291,-291,-291,-299,-279,-273,-273,-269,-240,-127,-127,-130,-126,-102,-97,-92,-98,-67,-72,-67,-65,-47,-48,-78,-45,-44,-64,-24,-50,-33,-35,-45,-23,-10,-16,-7,-5,5,-3,-175,-101,-91,-65,-80,-48,-18,-36,-6,-11,-16,-2,-12,-13,8,-1,-4,-2,-137,-53,-10,-172,-95,-66,-9,-34,-85,-72,-66,-75,-61,-43,-23,-19,-61,-59,-135,-129,-107,-78,-64,-61,-34,-95,-85,-75,-61,-59,-36,-19

How wait,	143432/1480,	1,1,1,1,1,1,1,15,1,1,15,15,15,49,23,6,15,1,8,10,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,1,10,2,10,13,23,10,8,15,2,16,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,2,6,2,8,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,11,11,1,10,11,12,10,12,34,2,34,12,6,12,2,12,12,34,24,13,8,11,12,10,11,11,20,12,19,59,59,59,59,59,59,59,59,59,59,59,59,59,59,47,41,36,2,6,6,27,10,19,10,27,34,20,52,56,12,34,2,34,4,38,38,19,19,11,6,6,26,81,75,30,24,37,47,41,36,19,13,26,29,29,20,29,26,11,20,11,12,2,29,3,56,78,15,7,16,14,14,3,3,3,22,7,8,14,25,34,37,67,68,55,56,38,14,29,19,22,29,29,18,6,14,3,0,22,7,3,3,12,18,8,3,0,24,75,87,91,91,91,91,78,78,78,78,78,78,78,78,24,37,42,13,29,26,29,20,29,11,20,18,16,33,14,25,24,23,7,15,14,9,19,11,7,23,28,27,9,49,28,39,16,53,55,91,78,29,36,39,33,19,6,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,52,27,7,22,30,28,23,56,19,22,31,14,3,39,7,29,40,3,3,36,39,28,12,33,19,27,18,19,11,16,40,28,23,6,7,20,16,55,25,52,9,28,15,27,22,30,18,13,4,13,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,12,12,24,3,31,39,34,29,7,16,29,10,9,24,16,26,2,42,17,28,34,44,31,136,136,136,136,136,136,140,127,127,127,127,127,127,127,127,127,14,7,29,40,43,36,12,19,66,40,44,31,34,39,29,29,42,27,16,7,17,10,9,43,28,15,30,18,24,28,34,44,12,12,31,4,13,24,16,26,14,16,2,32,66,35,44,45,29,44,19,9,38,26,18,5,0,41,32,37,19,2,91,28,42,36,22,26,27,24,5,43,66,44,31,29,42,46,48,35,44,44,35,7,45,29,17,9,32,41,46,19,36,32,37,22,26,27,19,9,2,5,3,171,175,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,91,18,45,28,34,44,4,38,26,42,14,2,28,26,42,18,5,24,0,37,16,19,18,22,22,0,52,48,7,33,22,2,7,43,33,8,18,87,66,39,39,21,5,0,0,30,21,9,3,220,220,220,220,224,224,224,224,211,211,54,111,35,44,35,29,17,87,41,66,19,36,32,37,22,16,19,39,39,18,33,22,22,36,5,0,3,21,2,19,7,15,45,28,34,42,14,26,42,48,43,18,5,24,33,8,18,30,21,7,5,21,4,0,3,9,0,3,4,57,49,48,45,17,0,0,146,142,129,52,59,59,54,22,10,31,45,70,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,48,37,25,28,30,112,66,16,57,19,39,18,73,45,59,69,48,64,54,0,70,65,21,48,17,44,44,45,37,30,22,25,10,5,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,255,255,255,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,145,43,8,52,30,21,21,31,49,4,4,33,39,9,0,3,13,0,18,14,6,77,268,268,268,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,47,41,2,65,49,35,20,33,29,13,11,76,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,45,32,36,21,9,4,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,10,58,65,112,90,65,73,76,45,59,69,64,65,21,48,17,44,44,45,37,30,22,47,25,10,41,35,45,32,36,18,20,37,33,29,5,21,13,14,6,9,28,11,25,138,77,77,89,76,31,4,33,58,65,62,10,2,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,75,63,18,13,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,110,102,85,90,30,15,11,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,11,49,47,43,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,43,33,46,295,295,295,295,316,297,297,297,287,257,85,139,134,130,120,109,110,102,85,90,85,95,25,10,63,41,45,32,18,20,33,29,21,47,28,46,25,43,13,27,159,63,77,33,58,62,37,43,33,30,48,40,44,15,11,33,2,11,175,77,34,204,98,35,66,98,98,93,75,55,51,124,150,122,63,32,99,66,113,103,93,99,97,43,51
