AGreedy EX	Serviced: 789, Unfair: 0, UserN :1000
Shuttle0,	0,0,0,0,0,0,1,2,2,2,3,3,5,5,5,5,5,5,5,6,6,6,7,7,7,6,6,6,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,7,7,7,7,7,7,7,9,9,9,9,9,9,9,8,8,8,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,12,12,12,11,11,11,11,13,13,13,14,14,13,13,13,14,14,14,14,12,12,12,12,12,12,12,12,13,13,13,13,12,12,12,12,13,13,13,13,11,11,11,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,17,17,17,16,16,16,17,17,17,17,16,16,16,14,14,14,14,14,14,14,14,14,12,12,12,13,13,13,13,15,15,15,15,15,15,15,15,14,14,14,14,15,15,15,15,16,16,16,16,13,13,13,14,14,14,14,14,14,14,13,13,13,13,13,13,14,11,11,11,9,9,11,11,11,10,10,10,10,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,12,12,12,12,15,15,15,15,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,42,42,42,42,43,43,43,43,45,45,45,45,45,45,45,12,12,12,12,12,12,12,13,13,13,13,13,13,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,27,27,27,27,27,27,27,27,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,9,9,9,9,9,9,9,7,7,7,7,7,7,9,9,9,9,10,10,9,9,9,8,8,8,8,9,9,9,8,8,8,7,7,7,5,5,5,3,3,3,3,0
Shuttle1,	0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,11,11,13,13,13,14,14,14,14,15,15,15,17,17,17,18,18,18,19,19,19,18,18,18,18,19,19,19,23,23,23,23,25,25,25,25,25,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,27,27,27,27,26,26,26,26,28,28,28,28,28,28,28,28,28,28,33,33,33,33,33,33,36,34,34,34,34,34,30,30,30,31,31,31,31,32,32,32,30,30,30,30,30,30,33,33,33,29,29,29,29,30,30,30,30,30,30,30,31,31,31,29,29,30,30,30,27,27,27,27,26,26,26,26,26,26,26,26,23,23,23,23,22,22,22,22,20,20,20,20,20,20,20,21,21,21,21,21,21,21,20,20,20,20,20,20,20,21,21,21,21,21,22,22,22,23,23,23,23,26,26,26,25,25,25,25,25,25,25,25,25,23,23,23,23,22,22,22,24,24,24,24,25,25,25,23,23,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,23,23,23,23,21,21,21,21,19,19,19,18,18,18,18,18,18,18,22,22,22,22,22,22,45,45,45,45,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,40,40,40,40,38,38,38,38,38,38,38,38,41,41,41,41,42,42,42,42,45,45,45,45,45,45,45,19,19,19,19,19,19,19,20,20,20,20,20,20,45,45,45,45,45,45,42,42,42,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,40,40,40,40,40,40,40,40,42,42,42,42,43,43,43,43,45,45,45,45,45,45,45,20,20,20,20,20,20,20,24,24,24,24,24,24,45,45,45,45,45,45,42,42,42,45,45,45,45,45,45,45,43,43,43,43,43,43,44,44,44,44,44,44,44,42,42,42,43,43,43,43,44,44,44,41,41,41,41,41,34,34,34,34,5,5,5,5,5,5,5,5,4,4,4,4,2,2,2,2,0
Shuttle2,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle3,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,45,45,45,45,45,45,45,45,45,44,44,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0
Shuttle4,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

How early,	-55787/789,	17,23,-28,19,32,11,-40,-28,30,-9,19,-98,-71,-16,-34,15,-26,4,1,-254,-17,-30,-49,-43,21,-43,-24,14,0,1,9,-55,18,-29,-30,1,-19,-18,-109,-362,-81,-68,-68,-60,-47,-71,-57,-39,2,14,-21,-37,7,9,-28,-10,-44,-9,-27,11,-33,34,-74,-56,-34,26,-15,4,-140,-2,-21,10,-40,9,-4,-9,14,-57,-38,2,-52,-11,-24,-68,-8,2,-28,-4,-32,-5,-26,-38,17,-35,29,-28,8,17,-38,33,19,-58,-7,-49,10,22,28,-62,-39,-9,-41,28,-53,-18,-17,-41,-17,28,16,32,15,-32,-149,8,-25,13,-11,-308,22,-66,-5,-3,22,-27,-58,-32,21,-21,30,20,17,8,-33,-4,-15,-42,-35,-56,-94,15,-61,-53,4,13,17,-47,1,-65,-50,-6,-33,-42,0,3,-271,-24,-49,-30,7,-21,-1,-40,1,-73,12,-6,-6,2,13,-95,-34,-66,1,7,-6,-55,25,4,-34,-69,32,-20,4,8,13,-21,-48,-23,-72,-29,-47,-71,-12,8,-16,-38,14,5,-61,-34,13,12,21,-72,-61,-43,-187,-24,-21,-45,21,4,-66,-31,-7,25,-42,-7,-17,5,-42,2,-15,-40,-186,-103,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,-30,35,-74,-48,-4,-54,-79,5,4,12,-34,-34,21,-23,10,14,5,-17,-23,12,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-70,-28,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-27,-57,-139,-24,-28,2,-1,14,-36,-36,-36,-32,-32,-32,-32,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,4,-19,19,-72,10,-62,-39,24,-34,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-46,-3,-110,14,-52,-37,-24,24,-81,-88,-71,-71,-41,-25,-70,21,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-161,-123,-87,-47,-54,-13,-11,2,-74,-24,-37,-52,-25,-78,-54,8,-14,-3,1,-33,-88,-23,-98,-80,-51,-37,-11,15,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-144,-87,-47,37,-116,-120,-120,-120,-120,-35,-82,-13,-117,-91,-114,-52,-17,26,-85,-28,-66,-19,-50,-93,-54,-36,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-177,-38,-75,-14,-21,-179,-179,-179,-179,-179,-179,-179,-179,-179,-179,-179,-179,-179,-179,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-89,-85,-22,-79,-41,-69,-151,2,-39,-18,-4,-29,-29,-36,-5,-17,19,-39,-54,-26,-15,-37,5,1,-83,-75,-62,-131,-11,-128,-59,2,-18,-7,-64,8,6,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-152,-93,3,-39,-24,-14,-204,-204,-204,-204,-200,-200,-200,-15,-32,-49,8,28,9,-49,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,-195,8,-207,-35,-109,-119,-53,-86,-114,-52,-12,7,-169

How wait,	50833/789,	1,3,2,2,0,7,8,9,2,4,11,17,2,18,8,9,26,17,8,14,4,16,9,23,17,31,14,24,14,17,9,44,8,9,18,18,14,14,9,2,2,36,46,28,25,31,35,40,22,10,25,9,31,23,32,34,30,33,13,13,1,4,42,42,20,0,45,10,10,12,25,21,12,5,5,33,10,45,26,11,30,12,14,30,32,19,8,19,41,20,13,0,3,29,3,35,19,21,6,5,12,48,39,31,28,16,4,22,11,27,7,4,9,9,35,1,35,2,8,0,3,28,9,24,20,11,12,37,1,26,20,18,2,34,18,32,6,45,0,3,1,24,1,8,39,16,9,24,5,11,47,33,0,14,9,25,37,29,28,30,5,14,20,17,14,2,33,4,12,28,25,39,18,35,9,7,10,13,11,7,12,40,3,1,44,7,6,0,11,14,6,38,22,18,5,25,6,47,36,16,9,43,44,16,10,18,1,22,27,20,17,18,9,46,41,11,28,2,34,31,0,14,34,35,1,4,4,45,21,13,6,36,16,30,40,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,3,4,42,6,34,41,16,28,0,2,41,10,41,22,18,13,25,7,18,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,47,46,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,38,0,31,22,17,20,11,46,46,46,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,20,2,32,5,36,5,14,66,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,64,29,78,24,29,47,50,8,39,11,81,81,25,11,100,3,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,52,36,8,48,32,30,0,75,54,21,38,24,102,48,19,23,5,1,57,48,44,60,48,25,9,29,1,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,78,51,1,128,130,130,130,130,31,44,34,118,67,87,25,32,1,51,52,87,26,18,73,46,4,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,62,37,22,15,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,57,45,22,75,79,65,169,6,62,37,23,59,33,16,24,16,0,13,75,47,44,38,19,23,104,76,100,125,27,166,41,30,30,25,68,22,8,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,164,105,11,41,36,33,214,214,214,214,218,218,218,36,70,64,30,2,6,57,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,16,225,67,127,151,85,112,152,84,44,17,201


Missed people's location (Destination / Demand time) At 539
A Station,	(I/578/-1)
B Station,	(S/525/-1), (E/556/-1), (S/562/-1), (V/562/-1)
