Greedy -30 EX	Serviced: 765, Unfair: 0, UserN :1000
Shuttle0,	0,0,0,0,0,0,1,2,2,2,3,3,5,5,5,5,5,5,5,6,6,6,7,7,7,6,6,6,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,10,10,10,10,10,10,10,12,12,12,12,12,12,13,12,12,12,13,13,12,12,12,11,11,11,11,9,9,9,9,9,9,9,9,9,10,10,10,9,9,9,9,12,12,12,11,11,11,11,13,13,13,14,14,12,12,12,13,13,13,13,11,11,11,11,11,11,11,11,12,12,12,12,11,11,11,11,12,12,12,12,10,10,10,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,17,17,17,16,16,16,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,13,13,13,14,14,14,14,16,16,16,16,16,16,16,16,15,15,15,15,16,16,16,16,18,18,18,18,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,16,13,13,13,11,11,13,13,13,12,12,12,12,45,45,45,45,45,45,43,43,43,43,43,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,14,14,14,14,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,40,40,40,40,41,41,41,16,16,16,16,16,16,16,17,17,17,17,17,17,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,14,14,14,14,14,14,14,14,12,12,12,12,10,10,10,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,11,11,11,11,11,11,10,10,10,13,13,13,13,14,14,14,10,10,10,8,8,8,5,5,5,3,3,3,3,0
Shuttle1,	0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,12,12,13,13,13,14,14,14,14,15,15,15,15,15,15,17,17,17,17,17,17,16,16,16,16,17,17,17,19,19,19,19,20,20,20,21,21,22,22,22,23,23,23,23,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,26,26,26,26,27,27,27,27,27,27,27,27,27,27,30,30,30,30,30,30,32,30,30,30,30,30,26,26,26,29,29,29,29,31,31,31,33,33,33,34,34,34,37,37,37,33,33,33,33,34,34,34,34,34,34,34,35,35,35,33,33,34,34,34,31,31,31,31,32,32,32,32,32,32,32,32,29,29,29,29,28,28,28,28,26,26,26,26,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,24,24,24,25,25,25,25,25,26,26,26,26,28,28,28,26,26,26,28,28,28,29,29,29,26,26,26,26,25,25,25,27,27,27,27,27,27,27,24,24,24,24,24,25,25,25,25,26,26,26,26,26,26,26,26,27,27,27,27,25,25,25,25,23,23,23,23,21,21,21,19,19,19,19,19,19,19,22,22,22,22,22,22,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,45,45,44,44,44,41,41,41,41,39,39,39,39,39,39,39,39,41,41,41,41,44,44,44,44,45,45,45,45,45,45,45,21,21,21,21,21,21,21,22,22,22,22,22,22,45,45,45,45,45,45,43,43,43,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,44,44,44,44,20,20,20,20,20,20,20,20,21,21,21,21,23,23,23,23,25,25,25,25,25,25,25,24,24,24,24,24,24,24,28,28,28,28,28,28,45,45,45,45,44,44,43,43,43,45,45,45,45,45,45,45,42,42,42,42,42,42,43,43,43,42,42,42,42,41,41,41,42,42,42,42,42,42,42,40,40,40,40,40,35,35,35,35,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0
Shuttle2,	0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle3,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle4,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,1,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

How early,	-32113/765,	23,30,27,31,18,0,19,34,37,-55,3,26,9,37,-8,9,27,-8,-2,-28,29,-28,22,-9,28,32,-74,-57,-28,-9,8,28,16,32,15,22,-28,28,22,30,8,15,-3,-4,22,-38,-58,15,16,19,1,-64,-53,-53,-21,4,1,2,1,22,26,-58,-21,-21,-30,-6,13,1,4,7,-20,13,29,-21,1,31,8,1,-16,-38,-9,14,13,-20,-12,-21,-6,-9,8,7,-38,13,13,12,14,-65,-30,-6,-47,1,7,4,1,-16,-21,21,25,4,25,2,17,17,17,17,-30,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,-66,-43,-61,-38,-34,-21,-30,-43,-40,2,14,21,-7,25,-4,-47,-66,-16,-42,4,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,6,4,-34,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,21,10,14,5,12,-61,-45,-40,-43,-40,-48,-7,-34,5,-23,10,-4,14,-27,5,-66,-42,-42,-17,-24,-33,12,-28,21,2,-10,-1,14,-32,-32,4,19,-35,-10,-72,10,24,-40,-79,-34,-32,-32,-32,-32,-23,-72,-27,5,-40,-68,-68,-68,-46,-24,-33,-28,-10,2,-10,-1,-19,19,-41,-68,-32,21,-11,2,-24,-17,-33,11,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-72,-63,-40,-17,-41,-23,-13,-11,1,-71,-71,-68,-68,-68,-68,-68,-68,-68,-68,-24,-33,-19,-25,-32,-47,-44,11,-11,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-30,15,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-73,-25,-35,-27,-13,-110,-120,-120,-120,-116,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-73,-81,-63,-39,-41,-25,-25,-25,-15,-11,-19,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-92,-52,-32,-47,-44,-27,-49,-30,-33,-35,-13,-26,15,-56,-52,-17,26,-86,-28,20,-66,-54,-34,-28,-76,-41,31,-80,-66,-86,-56,-41,-56,-54,-52,-34,-19,-42,-36,2,-155,-155,-151,-151,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-88,-49,-82,-33,-35,-17,-26,-39,-50,17,-18,-4,-54,-29,-36,-5,-17,19,-39,-26,-15,-37,20,5,1,16,-62,36,-86,-100,-67,-56,-69,-54,-52,-85,-34,-42,-26,-29,-22,-15,-36,-18,-4,-37,2,-5,-17,2,-18,20,-7,19,-15,-122,-82,-70,-54,-39,-50,-62,-29,-36,1,-39,-15,8,6,-24,-14,-49,-5,28,9,-204,-204,-204,-204,-204,-200,-200,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-131,-85,-93,-37,-49,-17,-24,-18,-7,9,28,-62,-36,-39,-15,-14,6,-5,8,-169,-159,-43,-35,-53,-86,-52,-12,7,-169,-114,-59,-49,9,-207,-109,7

How wait,	41790/765,	19,19,8,19,8,19,8,12,8,2,12,2,8,14,0,7,14,8,3,14,14,0,12,2,19,12,28,9,7,12,9,28,9,35,14,0,12,9,7,3,12,28,28,2,12,10,3,0,11,11,9,7,9,14,10,17,9,28,35,39,14,7,11,11,18,25,17,18,9,5,2,12,10,9,3,0,14,10,11,0,7,14,4,4,45,21,1,1,1,1,1,1,18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,35,20,11,16,18,25,20,11,30,1,0,1,18,4,9,10,21,34,4,14,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,18,16,28,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,22,18,25,18,40,11,30,1,18,40,16,22,6,18,4,13,34,34,4,6,16,25,21,18,22,10,17,23,20,11,25,20,2,5,36,40,5,14,41,37,37,46,46,50,50,50,50,40,41,36,40,4,13,25,26,5,34,21,22,17,23,20,20,29,31,2,39,81,25,11,33,3,30,0,13,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,39,47,25,26,47,5,25,32,30,32,11,24,20,81,81,72,72,72,72,72,72,72,69,29,31,40,33,41,24,13,9,47,29,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,26,1,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,57,31,54,44,34,26,78,130,130,130,134,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,99,39,25,78,48,5,25,48,48,57,32,11,24,47,29,20,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,29,48,33,41,24,54,44,26,35,9,31,34,26,27,1,42,38,32,1,52,12,18,46,4,32,52,45,22,100,33,7,48,87,32,79,42,65,46,38,45,32,20,46,33,22,4,6,165,165,169,169,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,48,58,44,35,9,31,32,27,18,21,37,23,33,16,24,16,0,13,47,44,38,1,19,23,22,48,2,70,74,51,53,42,65,46,38,45,32,46,47,33,22,44,4,37,23,38,41,6,24,16,30,30,1,25,0,31,113,44,102,61,62,18,48,33,16,23,13,31,22,8,36,33,32,2,6,214,214,214,214,214,218,218,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,135,45,105,38,41,64,16,36,30,25,6,2,48,16,13,31,33,8,32,16,201,185,75,67,85,118,84,44,17,201,152,41,64,6,225,127,17


Missed people's location (Destination / Demand time) At 539
A Station,	(I/578/-1)
B Station,	(S/525/-1), (E/556/-1), (S/562/-1), (V/562/-1)
C Station,	(N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (N/322/-1), (S/403/-1), (L/417/-1), (N/446/-1), (S/485/-1), (L/543/-1), (N/545/-1), (O/555/-1), (T/569/-1)
