PTS Greedy 30 EX	Serviced: 940, Unfair: 0, UserN :1000
Shuttle0,	0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,5,5,5,8,8,8,9,9,9,11,11,11,11,15,15,15,15,15,15,15,18,18,18,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,17,17,17,17,17,17,17,17,19,19,19,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,18,18,17,17,17,14,14,14,14,11,11,11,11,11,11,13,13,13,12,12,12,12,12,12,12,14,14,14,15,15,15,15,16,16,16,15,15,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,11,11,11,11,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,17,17,16,16,16,15,15,15,15,17,17,17,18,18,18,21,21,21,22,22,22,23,23,23,23,21,21,21,21,21,21,21,20,20,20,23,23,25,25,25,23,23,23,23,24,24,24,24,24,24,24,24,22,22,22,22,21,21,21,21,17,17,17,17,17,17,17,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,16,16,16,16,45,45,45,45,45,45,44,44,44,44,44,44,45,45,45,45,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,16,16,16,16,17,17,17,17,17,17,17,17,18,18,18,18,20,20,20,20,18,18,18,18,18,18,18,19,19,19,19,19,19,19,18,18,18,18,18,18,34,34,34,34,36,36,35,35,35,45,45,45,45,45,45,45,44,44,44,43,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,45,45,45,44,44,44,44,20,20,20,20,20,20,20,20,18,18,18,18,19,19,19,19,21,21,21,21,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,19,19,17,17,17,21,21,21,21,27,27,27,25,25,25,23,23,23,26,26,26,26,26,26,26,25,25,25,26,26,26,26,27,27,27,29,29,26,26,26,30,30,30,30,33,33,33,33,33,33,33,33,32,32,32,32,29,29,29,29,29,29,29,29,26,26,26,25,25,25,25,25,25,25,21,21,21,21,21,21,19,17,17,17,15,15,13,13,13,10,10,10,10,5,5,5,4,4,4,3,3,3,3,3,3,1,1,1,1,0
Shuttle1,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,12,12,12,12,12,12,12,12,12,13,13,13,14,14,14,18,18,18,19,19,19,21,21,21,21,23,23,23,23,23,23,23,26,26,26,28,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,29,29,29,29,30,30,30,30,28,28,28,28,30,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,29,29,30,30,30,27,27,27,27,30,30,30,28,28,28,26,26,26,22,22,22,21,21,21,21,20,20,20,19,19,19,19,19,19,19,23,23,25,25,25,26,26,26,26,25,25,25,25,25,25,25,25,23,23,23,23,22,22,22,22,18,18,18,18,18,18,18,17,17,17,17,17,17,17,15,15,15,15,15,15,18,18,18,18,16,16,19,19,19,20,20,20,20,21,21,21,22,22,22,21,21,21,23,23,23,24,24,24,24,23,23,23,22,22,22,22,23,23,23,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,28,28,28,28,30,30,30,30,31,31,31,31,34,34,34,32,32,32,32,32,32,32,28,28,28,28,28,28,45,42,42,42,42,42,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,43,43,43,41,41,41,41,41,41,41,41,41,15,15,15,15,15,15,15,15,16,16,16,16,15,15,15,15,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,23,23,25,25,25,45,45,45,45,45,45,45,42,42,42,40,40,40,42,42,42,44,44,44,44,45,45,45,44,44,44,44,45,45,45,45,45,43,43,43,42,42,42,42,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,22,22,22,22,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,23,22,22,22,21,21,19,19,19,22,22,22,22,22,22,22,21,21,21,21,21,21,19,19,19,18,18,18,18,17,17,17,16,16,16,16,16,16,16,15,15,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,2,2,2,2,0
Shuttle2,	0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle3,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle4,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

How early,	-23027/940,	29,14,25,32,21,21,8,0,36,8,8,16,0,16,-41,0,-49,8,-41,-16,-57,-49,-23,0,-5,-76,-16,0,8,-16,38,20,8,20,8,30,-57,-49,-63,-27,-30,-45,7,8,26,-16,-7,7,-4,-4,9,-63,-45,-4,-4,11,-6,28,-14,-23,-19,2,6,-56,-79,-23,-14,2,4,-19,6,-56,-6,-2,27,14,27,-24,16,-62,3,11,17,17,-79,-74,-19,3,16,16,11,18,-56,-54,-62,3,11,-24,10,-19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,-15,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,29,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,-7,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-61,-60,-74,-40,-40,-48,-28,-33,-48,11,4,14,-54,-62,-34,-24,-19,-25,12,2,-36,13,-32,-4,-4,27,7,-30,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-33,-33,-48,-36,-36,-36,-36,-36,-36,-36,-32,-35,-28,-31,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-48,-21,-8,-30,14,-20,17,-25,-11,-4,-3,-35,7,-13,13,-40,17,-1,-11,-22,13,-40,-7,5,-5,-1,-50,-29,-11,-20,-22,13,5,-5,1,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-83,-55,-38,-35,-47,-13,-42,-18,-40,-7,-1,-38,-52,-40,-1,-29,-15,-15,29,-8,-11,24,7,2,-26,24,-71,-23,-14,-1,-13,9,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-71,-53,-47,-20,-22,-23,-11,-44,-26,1,5,-5,1,-28,24,7,2,24,-83,-83,-47,-42,-40,-44,-38,-52,-40,-29,-15,-15,-8,-29,-14,-1,-13,9,-50,10,-36,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,-111,15,12,-24,-31,7,2,-11,13,-26,14,-37,-71,-18,5,-27,-60,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-116,-37,-133,-117,-120,-85,-44,-66,-59,-72,-36,-46,-37,-28,-46,-11,-10,-50,-31,-60,7,-108,-116,-91,-80,-52,-71,-51,-29,-9,-14,-18,-37,-13,9,12,5,13,-27,-26,14,-12,12,4,19,-43,-21,-12,-8,24,-58,38,-9,-24,-21,-10,1,-12,-37,6,1,-44,-35,-18,-120,-85,-102,-66,-69,-70,-72,-46,-46,-50,-31,-60,-39,-12,-24,-37,6,12,4,-21,7,-10,17,1,-46,-34,-29,27,-103,-51,-44,-35,-37,-64,-39,-58,-27,-26,-43,-10,-39,-12,-8,-21,-46,-22,-12,-34,-29,-9,-18,1,24,8,-1,27,3,2,11,18,-38,-3,4,14,28,8,-17,6,9,-12,-7,1,-87,-60,-37,-17,-38,-21,-17,-12,-10,1,-3,6,1,4,18,28,3,9,-170,-142,-88,-64,-58,-43,-65,-39,-21,-46,-22,-34,-29,-9,-18,-1,-7,-2,8,3,14,6,14,29,-4,13,-38,3,9,6,13,-65

How wait,	41106/940,	16,10,10,16,48,16,44,44,21,21,44,3,4,4,4,5,3,22,17,22,5,5,24,24,5,8,19,9,12,5,21,12,36,45,17,30,0,24,18,9,12,12,8,19,29,34,21,1,8,11,5,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,36,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,31,30,9,2,27,30,15,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,15,15,14,45,45,27,40,18,23,40,36,30,28,26,30,28,8,9,2,22,17,4,28,26,20,19,33,26,1,23,26,15,15,27,15,17,14,46,46,46,46,30,10,8,31,24,11,11,11,14,31,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,31,35,14,19,12,18,65,46,46,46,46,46,46,46,50,20,55,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,30,28,9,24,31,2,4,11,0,11,26,15,15,30,15,14,35,32,8,11,10,14,31,19,17,14,12,9,21,22,2,15,0,25,3,19,18,48,14,37,8,26,0,22,24,11,25,25,19,15,0,0,3,18,14,8,0,81,81,81,81,81,81,81,81,72,72,72,72,72,72,72,72,72,72,72,72,72,32,8,11,10,48,31,19,22,17,14,37,12,2,26,14,22,33,19,19,3,12,7,25,37,8,11,16,1,2,81,22,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,134,81,25,19,0,0,37,25,14,8,13,0,29,8,11,16,2,1,84,48,19,17,12,2,26,14,33,19,19,12,30,7,13,22,13,6,10,14,37,32,20,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,17,14,62,27,6,30,13,13,13,3,4,65,81,81,42,19,14,20,166,166,166,166,166,166,166,166,166,166,166,148,60,40,128,112,62,70,25,49,37,32,47,65,29,20,1,10,27,20,13,6,74,148,115,104,26,81,81,60,30,7,13,42,40,13,6,14,19,13,13,14,3,4,30,13,7,15,19,17,7,10,15,0,38,0,25,7,33,8,42,17,43,21,6,18,86,43,62,64,49,56,38,32,47,20,10,27,20,13,39,33,43,21,7,15,8,19,28,15,6,24,24,25,3,81,60,82,73,40,30,13,38,14,3,17,39,42,25,13,15,7,24,30,10,24,25,7,18,17,0,20,9,3,1,30,35,15,0,39,27,14,5,4,13,32,6,36,34,29,47,20,43,35,39,8,41,36,28,6,27,32,29,14,0,4,18,6,138,114,52,30,38,17,39,25,7,24,30,24,25,7,18,9,34,34,13,1,5,15,18,9,30,25,39,18,6,15,25,39
