Proposed EX	Serviced: 934, Unfair: 0, UserN :1000
Shuttle0,	0,0,0,0,0,0,1,2,2,2,3,3,5,5,5,5,5,5,5,6,6,6,7,7,7,6,6,6,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,7,7,7,7,7,8,8,8,8,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,12,12,12,12,12,12,12,14,14,14,14,14,14,15,14,14,14,15,15,14,14,14,12,12,12,12,10,10,10,10,10,10,10,10,10,12,12,12,11,11,11,11,14,14,14,13,13,13,13,15,15,15,15,15,14,14,14,15,15,15,15,13,13,13,13,13,13,13,13,14,14,14,14,13,13,13,13,14,14,14,14,11,11,11,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,19,19,19,18,18,18,19,19,19,19,19,19,19,17,17,17,17,17,17,17,17,17,15,15,15,16,16,16,16,18,18,18,18,18,18,18,18,17,17,17,17,18,18,18,18,20,20,20,20,17,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,16,13,13,13,11,11,13,13,13,12,12,12,12,45,45,45,45,45,45,43,43,43,43,43,43,43,43,43,43,45,45,45,44,44,44,44,45,45,45,45,45,45,45,45,11,11,11,11,11,11,11,11,11,11,11,11,16,16,16,16,15,15,15,15,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,44,44,44,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,38,38,38,38,38,38,38,38,37,37,37,37,38,38,38,38,44,44,44,44,45,45,45,19,19,19,19,19,19,19,20,20,20,20,20,20,19,19,19,19,20,20,18,18,18,25,25,25,25,31,31,31,31,31,31,31,31,31,29,29,29,28,28,28,28,27,27,27,28,28,28,28,27,27,27,25,25,22,22,22,20,20,20,20,19,19,19,19,19,19,19,19,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,10,10,10,10,10,10,8,6,6,6,6,6,4,4,4,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,0
Shuttle1,	0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,11,11,11,11,13,13,15,15,15,16,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,19,19,19,19,20,20,20,23,23,23,23,25,25,25,26,26,27,27,27,28,28,28,28,31,31,31,31,31,31,31,31,32,32,32,32,30,30,30,30,29,29,29,29,31,31,31,31,31,31,31,31,31,31,34,34,34,34,34,34,37,35,35,35,34,34,30,30,30,32,32,32,32,33,33,33,33,33,33,33,33,33,36,36,36,32,32,32,32,33,33,33,32,32,32,32,33,33,33,31,31,32,32,32,29,29,29,29,30,30,30,30,30,30,30,30,27,27,27,27,26,26,26,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,25,26,26,26,27,27,27,27,27,28,28,28,28,31,31,31,29,29,29,31,31,31,31,31,31,28,28,28,28,27,27,27,29,29,29,29,30,30,30,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,27,27,27,27,25,25,25,25,24,24,24,22,22,22,22,22,22,22,25,25,25,25,25,25,45,45,45,45,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,44,44,43,43,43,44,44,44,44,42,42,42,42,42,42,42,42,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,21,21,21,21,21,21,21,22,22,22,22,22,22,27,31,31,31,35,35,31,31,31,45,45,45,45,45,45,45,45,45,45,44,44,44,43,43,43,43,43,43,43,41,41,41,39,39,39,39,41,41,41,43,43,45,45,45,44,44,44,44,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,28,28,28,26,26,26,26,26,26,26,29,29,29,29,29,29,25,26,26,26,24,24,23,23,23,22,22,22,22,23,23,23,17,17,17,17,17,17,18,18,18,15,15,15,15,14,14,14,11,11,11,11,10,10,10,8,8,7,7,7,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,1,1,1,1,0
Shuttle2,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,27,27,27,27,27,27,27,27,27,27,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Shuttle3,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle4,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

How early,	-16972/934,	17,23,-28,19,32,11,-40,-28,30,-9,19,-16,-34,15,-26,4,1,-17,-30,-49,-43,21,-24,-29,14,-59,0,-15,-66,1,9,-55,18,-30,1,-19,-18,-68,-68,-60,-47,-71,2,15,3,-57,-39,2,14,7,9,-28,6,-44,-9,-27,11,-33,-2,-56,-74,-56,-34,26,28,-15,4,-2,-21,10,-20,-40,-8,9,-4,-9,14,-57,-38,2,-52,-11,-24,-68,-8,2,-28,-4,-32,-5,-26,-38,-35,29,-28,8,17,-38,19,-58,-7,-49,10,22,28,-62,-39,-9,-41,28,-53,-18,-17,-41,-17,28,1,16,32,15,-32,8,-25,13,17,-11,-64,-13,22,-66,-5,-3,22,-27,-58,-32,21,-21,30,20,27,17,-68,8,-33,-4,-42,-35,15,-61,-53,4,13,17,-47,1,-65,-50,-6,-33,-32,-42,-24,-49,-27,-24,-30,7,-21,-1,-40,1,-21,-73,12,-6,-6,2,13,-34,-66,1,7,25,4,-82,-34,7,-20,4,8,-43,13,-21,-23,-72,-29,-47,-71,-12,8,1,-16,-38,-9,-10,14,5,-61,-34,13,12,21,-72,-61,-43,-21,-45,21,8,25,4,-66,-31,-7,25,-42,-7,-17,5,-42,-56,2,-15,-40,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,-30,-14,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,-48,-4,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,-54,-79,15,6,5,-11,-1,-61,-34,21,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-23,10,14,5,-17,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-70,-28,-41,-27,-57,-24,-33,-28,2,-10,-1,14,-36,-36,-36,-60,-6,-52,-26,4,-19,19,-35,24,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-10,-72,10,-62,-39,-39,24,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,-28,2,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-68,-68,-68,-68,-46,-3,-63,-12,-52,-37,-24,24,-81,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-71,-71,-41,-25,-68,-32,21,-54,-13,-11,2,-24,-37,-36,21,-17,-52,-25,-44,-88,11,-23,-56,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,14,0,-80,-51,-37,-15,-11,11,-30,16,-88,-50,-40,-20,-34,-87,-47,-54,-27,0,10,-68,-83,-76,-9,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-35,-89,-27,-49,-82,-13,-5,-19,-34,-26,-56,-52,-17,26,-67,-66,-19,-50,-54,-36,-34,7,-14,5,-79,31,-2,-85,-22,-27,-40,-30,-68,-103,-31,-2,-61,-9,1,32,-41,-29,-150,-85,-118,-80,-79,-96,-2,-8,-42,2,-39,17,0,-18,-4,-46,10,-29,-36,-10,-5,-17,19,-39,-26,-15,-37,20,5,1,-59,2,-18,-7,-15,8,6,-8,-22,0,-25,-24,-14,-19,23,-32,3,36,-5,28,9,7,6

How wait,	33756/934,	1,3,2,2,0,7,8,9,2,4,11,18,8,9,26,17,8,4,16,9,23,17,14,33,24,31,14,47,32,17,9,44,8,18,18,14,14,36,46,28,25,31,25,12,12,35,40,22,10,31,23,32,32,30,33,13,13,1,18,33,42,42,20,0,10,45,10,12,25,21,48,12,16,5,5,33,10,45,26,11,30,12,14,30,32,19,8,19,41,20,13,0,29,3,35,19,21,6,12,48,39,31,28,16,4,22,11,27,7,4,9,9,35,1,35,2,23,8,0,3,28,24,20,11,21,12,38,14,1,26,20,18,2,34,18,32,6,45,0,3,11,1,48,24,1,8,16,9,11,47,33,0,14,9,25,37,29,28,30,5,18,14,2,33,25,22,4,12,28,25,39,18,28,35,9,7,10,13,11,12,40,3,1,6,0,48,11,11,38,22,18,20,5,25,47,36,16,9,43,44,16,14,10,18,33,25,1,22,27,20,17,18,9,46,41,11,34,31,0,30,7,14,34,35,1,4,4,45,21,13,6,40,36,16,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,42,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,34,41,17,18,16,27,22,29,41,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,41,22,18,13,25,18,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,47,46,40,4,38,31,21,22,17,23,20,11,46,46,46,32,30,20,21,25,20,2,65,10,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,31,32,5,36,40,5,14,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,22,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,64,29,25,6,29,47,50,8,39,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,81,25,11,69,33,3,48,32,30,0,54,21,2,3,47,38,24,24,48,13,44,32,105,105,105,105,105,105,105,105,105,105,105,105,105,105,18,6,48,25,9,47,29,15,26,0,106,82,66,38,25,78,51,22,26,18,8,80,60,38,21,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,31,83,54,58,44,34,26,20,55,27,42,38,32,1,53,87,26,18,46,4,32,31,26,13,47,1,28,45,22,13,8,68,46,127,49,34,27,18,9,0,79,33,122,117,127,104,74,58,26,26,46,6,62,21,15,37,23,20,6,33,16,14,24,16,0,13,47,44,38,1,19,23,41,30,30,25,31,22,8,40,40,32,43,36,33,29,9,41,14,2,32,2,6,17,32
