Proposed PG	Serviced: 1000, Unfair: 0, UserN :1000
Shuttle0,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,13,13,13,13,11,11,11,11,12,12,12,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,19,19,19,19,18,18,18,17,17,17,17,17,17,15,15,15,14,14,14,14,12,12,12,12,12,12,12,12,12,12,14,14,17,17,17,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,15,15,15,15,14,14,14,12,12,12,12,12,12,12,11,11,11,11,11,11,16,14,14,14,14,14,15,15,15,14,14,14,14,45,45,45,42,42,42,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,43,43,43,42,42,40,40,40,14,14,14,14,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14,14,12,12,12,12,13,13,13,16,16,16,16,16,16,16,17,17,17,17,17,17,42,42,42,42,42,42,42,42,42,42,42,42,42,41,41,41,39,39,39,42,42,42,43,43,43,43,43,43,43,42,42,42,43,43,43,43,41,41,41,41,41,40,40,40,41,41,41,41,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,13,13,13,13,13,13,13,14,14,14,14,14,14,36,35,35,35,36,36,35,35,35,36,36,36,36,35,35,35,33,33,33,32,32,32,34,34,34,34,34,34,34,36,36,36,35,35,35,35,33,33,33,36,36,36,36,36,35,35,35,35,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,17,17,17,17,19,19,19,17,17,17,17,17,17,17,18,18,18,18,18,18,19,17,17,17,18,18,19,19,19,18,18,18,18,19,19,19,21,21,21,22,22,22,20,20,20,20,20,20,20,18,18,18,16,16,16,16,14,14,14,13,13,11,11,11,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle1,	0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,7,7,7,7,7,7,10,12,12,12,11,11,15,15,15,20,20,20,20,24,24,24,24,24,24,23,23,23,23,23,23,22,22,22,22,20,20,20,20,20,20,20,19,19,19,20,20,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,21,21,21,21,22,22,22,22,24,24,24,24,24,24,24,24,24,24,19,19,19,19,19,19,20,20,20,20,24,24,23,23,23,23,23,23,23,45,45,45,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,19,19,19,19,18,18,18,18,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,16,19,19,19,21,21,20,20,20,20,20,20,20,19,19,19,17,17,17,18,18,18,21,21,21,26,26,26,26,29,29,29,30,30,30,30,30,30,30,27,27,24,24,24,25,25,25,25,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,23,23,23,23,25,25,25,24,24,24,24,24,24,24,20,20,20,20,20,20,45,45,45,45,44,44,42,42,42,43,43,43,43,42,42,42,40,40,40,43,43,43,43,43,43,44,44,44,44,43,43,43,42,42,42,42,42,42,42,44,44,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,43,44,44,44,44,45,45,45,45,43,43,43,15,15,15,15,15,15,15,14,14,14,14,14,14,12,14,14,14,14,14,11,11,11,11,11,11,11,11,11,11,13,13,13,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,15,15,15,15,15,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,14,14,14,13,13,13,13,13,12,12,12,12,10,10,10,9,9,9,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Shuttle2,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,33,33,33,33,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle3,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,39,39,39,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle4,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,42,42,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

How early,	3279/1000,	-38,-2,-29,3,18,-30,-17,4,-20,-21,19,-9,0,-27,6,-29,-35,-37,26,-59,3,-65,-26,5,-15,-42,-45,1,13,-67,8,17,-6,-26,-6,13,1,-69,-58,7,-35,3,-3,-30,-20,-8,-33,-5,20,7,-5,-30,16,23,10,-36,-8,24,4,-41,-9,-26,-56,-46,5,-44,13,-14,-15,19,-29,-21,-59,-1,-50,-1,4,-43,-37,-4,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,-23,-39,-5,0,-7,-37,8,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,-57,-5,-11,-11,-41,-24,-38,-29,-16,-73,-79,-26,-62,12,-22,-27,15,-40,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-25,-6,-34,22,2,2,2,2,2,2,2,2,2,2,-45,32,18,-48,-1,-28,-3,-49,-67,-6,2,-59,-14,-19,8,25,-26,-28,-27,-36,-37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,-20,-45,-79,-36,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-29,-17,-46,-85,-24,10,-47,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,30,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,10,10,10,10,-1,-39,22,-8,13,-6,-1,29,11,14,-58,-23,-46,0,0,-42,30,-12,-8,12,6,0,16,-9,-58,-8,-4,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,-14,-45,-16,-27,9,-42,-34,19,-109,-96,-57,-46,-11,-45,-5,-66,-52,-96,-79,-33,-37,-14,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-3,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-38,-9,15,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,17,-51,20,22,-69,-5,-34,-35,8,-23,6,-43,-14,-41,-3,-22,-71,-10,21,-19,3,-50,-12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-35,13,9,-3,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,24,-6,28,-1,-11,4,-35,18,18,18,18,18,18,18,18,18,18,18,24,-8,13,13,13,13,13,13,13,13,13,13,13,-67,-39,4,-17,-60,-42,-8,11,-29,-26,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,1,17,-10,-23,1,-31,25,-39,-21,3,-6,24,-9,-58,-38,25,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,-18,-4,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,-66,-32,-9,-18,34,-45,-11,8,-52,-33,-53,-4,23,-6,-25,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-29,-42,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-2,-1,10,9,-29,-49,-30,-17,-19,-55,7,-40,23,-5,-59,-28,-46,5,14,15,-36,-12,-27,21,-53,9,-63,-4,-29,1,-11,-44,-89,14,-10,-50,23,-9,1,-31,-41,10,-10,-61,0,-55,-50,-4,-18,-38,-72,-43,-22

How wait,	16463/1000,	6,10,1,1,20,14,32,17,26,15,10,36,27,31,6,33,26,3,6,27,29,25,44,21,19,0,15,18,6,45,16,7,15,4,7,12,6,43,44,17,3,6,24,31,30,29,1,31,12,11,9,34,5,9,22,13,34,2,31,22,47,42,14,24,19,8,11,1,11,9,32,7,31,31,12,25,15,17,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,14,1,34,23,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,33,25,43,23,32,37,6,15,29,41,44,36,14,13,5,23,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,26,21,12,2,36,36,36,36,36,36,36,36,36,36,32,6,20,40,25,0,7,39,29,32,30,25,32,4,30,1,17,28,19,31,41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36,9,47,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,33,37,70,59,48,14,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28,28,28,28,28,28,7,16,26,5,22,9,9,5,4,43,41,14,18,38,16,8,38,27,12,19,19,11,5,30,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,69,31,34,18,20,0,5,81,68,47,50,35,37,26,34,20,76,63,13,23,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21,6,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,8,11,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,29,18,6,29,29,8,13,16,7,24,29,10,42,24,2,33,11,17,45,15,14,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,27,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,47,19,9,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,31,2,3,35,20,9,20,20,20,20,20,20,20,20,20,20,20,3,9,25,25,25,25,25,25,25,25,25,25,25,41,40,19,18,20,26,26,1,36,36,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,17,1,42,44,25,8,13,39,33,35,30,7,25,22,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,28,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,45,28,8,4,45,12,16,20,39,27,31,12,10,7,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,13,16,21,17,50,45,38,28,33,23,18,1,32,21,29,6,10,1,3,16,4,1,17,13,9,37,25,33,25,23,22,47,24,6,14,15,5,31,26,19,14,34,21,19,27,22,31,31,24,40,44,37
