TS Greedy -30 EX	Serviced: 788, Unfair: 0, UserN :1000
Shuttle0,	0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,5,5,5,8,8,8,9,9,9,11,11,11,11,15,15,15,15,15,15,15,18,18,18,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,17,17,17,17,17,17,17,17,19,19,19,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,18,18,17,17,17,14,14,14,14,11,11,11,11,11,11,13,13,13,12,12,12,12,12,12,12,14,14,14,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,13,13,13,13,12,12,12,12,13,13,13,13,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,19,19,18,18,18,17,17,17,17,19,19,19,20,20,20,23,23,23,24,24,24,25,25,25,25,23,23,23,23,23,23,23,22,22,22,24,24,26,26,26,24,24,24,24,25,25,25,25,25,25,25,25,23,23,23,23,22,22,22,22,18,18,18,18,18,18,18,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,15,15,15,15,45,45,45,45,45,45,44,44,44,44,44,44,45,45,45,45,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,15,15,15,15,16,16,16,16,16,16,16,16,17,17,17,17,19,19,19,19,17,17,17,17,17,17,17,18,18,18,18,18,18,18,17,17,17,17,17,17,45,45,45,45,45,45,44,44,44,45,45,45,45,45,45,45,44,44,44,43,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,45,45,45,45,45,45,45,16,16,16,16,16,16,16,16,14,14,14,14,15,15,15,15,17,17,17,17,17,17,17,13,13,13,13,13,13,13,15,15,15,15,15,15,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,42,42,42,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,45,45,45,45,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,14,14,14,14,12,12,11,11,11,10,10,10,10,6,6,6,5,5,5,4,4,4,3,3,3,1,1,1,1,0
Shuttle1,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,12,12,12,12,12,12,12,12,12,13,13,13,14,14,14,19,19,19,20,20,20,22,22,22,22,24,24,24,24,24,24,24,27,27,27,29,29,29,29,29,30,30,30,30,31,31,31,31,31,31,31,31,30,30,30,30,29,29,29,29,28,28,28,28,30,30,30,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,27,28,28,28,25,25,25,25,28,28,28,26,26,26,23,23,23,18,18,18,17,17,17,17,16,16,16,15,15,15,15,16,16,16,21,21,23,23,23,24,24,24,24,23,23,23,23,23,23,23,23,21,21,21,21,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,15,15,15,15,12,12,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,20,20,20,21,21,21,21,20,20,20,19,19,19,19,20,20,20,21,21,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,26,28,28,28,28,29,29,29,29,32,32,32,30,30,30,30,30,30,30,27,27,27,27,27,27,45,42,42,42,42,42,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,43,43,43,41,41,41,41,41,41,41,41,41,15,15,15,15,15,15,15,15,16,16,16,16,15,15,15,15,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,42,42,41,41,41,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,19,19,19,19,19,19,19,21,21,21,21,21,21,39,38,38,38,45,45,43,43,43,45,45,45,45,45,45,45,43,43,43,42,42,42,42,42,42,40,40,40,40,39,39,39,38,38,38,38,39,39,39,38,38,31,31,31,29,29,29,29,10,10,10,10,10,10,10,10,6,6,6,6,2,2,2,2,0
Shuttle2,	0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle3,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuttle4,	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

How early,	-18589/788,	29,-62,-3,-51,14,25,32,21,8,-62,-39,0,-76,-23,8,8,16,0,16,-41,8,2,0,-49,-27,8,-41,-16,-57,-49,0,-27,-76,-16,-19,0,8,-16,30,20,8,20,-7,8,-57,-49,-63,-27,-30,-45,7,7,8,26,34,-16,-7,7,-4,30,28,-63,-45,-5,-14,-4,-4,11,-6,28,3,-23,-19,34,2,37,4,-65,-56,-23,2,4,-19,24,6,-44,-56,-6,-2,27,27,27,-24,16,3,3,11,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,-79,-19,-15,3,18,16,16,11,18,-56,-54,3,11,-24,10,13,-19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,-15,-26,29,-7,25,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-85,-61,-60,-74,-40,-1,-48,-28,-33,-48,11,-8,5,4,14,-54,-34,-26,-24,-19,-25,12,2,-36,13,-32,-4,-4,7,-30,25,27,-1,-33,-58,-33,-48,-36,-36,-36,-36,-36,-36,-32,-35,-28,-31,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-33,-48,-8,-30,5,14,-20,-25,-43,-11,-11,-4,-10,-38,-35,-18,7,-13,13,-40,5,-18,-38,-11,-22,-71,13,15,-24,31,-40,5,37,-5,-1,35,-37,-11,-20,-22,13,1,5,-5,1,-71,-71,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-68,-55,-38,-35,-18,-47,-13,-42,-18,-40,-38,-52,-40,-1,-29,-15,29,-8,-9,-26,-14,-1,-13,9,-120,-116,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-53,-47,-20,-22,-26,1,5,-5,1,-28,-83,-47,-42,-40,-38,-52,-40,-29,-15,-8,-29,-9,-14,-1,-13,9,-50,10,-36,15,12,-24,-31,7,-11,14,-37,-60,-72,-36,-46,-37,-28,-46,-50,-31,-60,7,-155,-155,-151,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-152,-108,-52,-46,-29,-9,-11,-14,-13,9,12,14,-12,12,4,-43,-21,-12,-91,-58,38,-24,-21,-12,-37,6,1,-44,-35,-66,-64,-70,-72,-46,-46,-50,-31,-60,-12,-24,-37,6,12,4,-21,7,-10,17,1,-46,-34,-29,-101,-44,-35,-64,-58,-43,-12,-21,-46,-22,-12,-34,-29,8,-1,3,-136,-47,-29,2,-116,-60,-36,11,18,14,8,-17,6,9,-12,-7,1,-204,-204,-204,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-201,-134,-128,-87,-77,-82,-60,-29,-37,-17,-21,-17,-12,-25,-10,1,6,1,18,3,9,-137,-64,-58,-43,-21,-46,-22,-34,-29,-1,-7,-2,8,3,14,6,-95,14,-4,13,-200,-94,-59,3,9,6,13,-200

How wait,	30209/788,	16,35,16,35,10,10,16,48,44,16,44,44,3,3,21,4,21,8,4,12,44,3,3,8,4,4,12,4,5,35,42,4,3,42,22,17,19,9,22,12,5,5,30,5,8,19,9,12,5,18,21,1,1,1,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,36,45,17,27,30,0,24,18,18,40,9,12,12,11,8,14,19,34,21,1,8,11,5,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,36,0,31,30,2,9,2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,14,45,27,40,18,23,40,36,30,28,20,26,20,30,28,8,9,2,22,17,4,33,28,20,19,33,26,1,23,26,15,27,15,14,17,46,46,46,46,30,10,8,31,25,24,11,11,14,31,13,1,31,13,19,18,65,39,46,46,46,46,46,46,50,39,20,55,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,30,28,9,24,31,2,4,11,0,26,25,15,15,30,15,25,14,32,8,11,10,14,31,19,17,21,22,2,15,7,0,25,25,3,23,19,62,7,18,48,14,8,1,26,0,22,3,62,24,11,25,25,19,15,0,7,0,3,18,14,8,13,0,81,81,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,32,8,11,10,48,31,19,22,17,2,26,14,22,33,19,3,12,7,13,22,13,130,134,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,25,19,0,0,14,8,13,0,29,84,48,19,17,2,26,14,33,19,12,30,7,13,22,13,6,10,14,37,32,20,17,14,62,27,6,72,37,4,65,20,37,32,65,29,20,10,27,20,6,165,165,169,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,74,26,72,30,7,37,13,13,6,14,4,30,13,7,15,17,7,10,121,38,0,33,8,39,21,6,64,68,56,38,32,20,10,27,20,39,33,21,7,15,8,19,28,15,6,24,24,25,105,82,73,30,38,17,13,7,24,30,10,24,25,20,9,1,168,79,47,30,142,92,62,35,15,0,5,13,32,6,36,34,29,214,214,214,218,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,146,127,47,95,100,20,47,43,35,8,41,36,49,28,6,32,29,0,18,6,97,30,38,17,7,24,30,24,25,9,34,34,13,1,5,15,127,18,30,25,85,91,18,6,15,25,232
